Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Accuracy(macro),F1-score(macro),Presicion(macro),Recall(macro)
256,Xavier,none,0.01,16,TF,"(2, 2)",only_normalizar_texto,100,0.014917716975728,657.2574121952057,0.77,0.7641112738401454,0.7698041703534283,0.7618607816449543
256,Xavier,none,0.01,32,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0516464407190773,382.5434007644653,0.764,0.7574771041944129,0.7642320085929108,0.7551040248881975
256,Normal,none,0.01,32,TF,"(1, 1)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0726504111143901,495.2681913375855,0.728,0.7197078366391321,0.7272389069264069,0.7177393220558688
256,Normal,none,0.01,16,TF,"(1, 1)",only_normalizar_texto,100,0.0671493364750482,711.4368450641632,0.722,0.7115883390393194,0.7230094292461775,0.7096214919955928
256,Normal,none,0.1,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0314609163027356,666.6744811534882,0.712,0.7075025593526056,0.708235524256651,0.7069803616566206
256,Normal,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0767798602504768,223.75161695480347,0.706,0.7018485390578414,0.7021644810607908,0.7015846782033832
256,Normal,none,0.01,64,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0758528909799572,242.06742668151853,0.708,0.7003284072249589,0.705231119138404,0.6988463283427313
256,Normal,none,0.01,32,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0909762696597443,408.9020967483521,0.676,0.6625,0.6743317747225905,0.661902910104349
256,Normal,none,0.01,64,TF,"(2, 2)",only_normalizar_texto,100,0.0795077931609517,223.0112636089325,0.662,0.6487815421191981,0.6586276173816658,0.6484055998444487
256,Normal,none,0.1,32,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.0304265603914117,356.670476436615,0.646,0.6422782630487593,0.6818553475888303,0.6657754877179337
256,Normal,none,0.5,16,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,56,0.0389794549656895,482.6048958301544,0.682,0.6376068376068376,0.7278496490670319,0.6509657139153542
256,Normal,none,0.01,32,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.0850093625711494,338.96862053871155,0.656,0.636431277056277,0.6555628606910658,0.638019314278307
256,Normal,none,0.1,16,TF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.0450076944830145,812.1656465530396,0.612,0.6083909308184225,0.6421620478104506,0.6306630371378572
256,Xavier,none,0.01,64,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,29,0.1288883570027403,65.02605485916138,0.556,0.3573264781491002,0.278,0.5
256,Xavier,none,0.1,32,TF,"(1, 1)",only_normalizar_texto,15,0.2062778400900188,61.96522283554077,0.556,0.3573264781491002,0.278,0.5
256,Xavier,none,0.5,64,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,11,0.2936734993293093,23.813406705856323,0.444,0.3074792243767313,0.222,0.5
256,Xavier,none,0.5,32,TF,"(1, 1)",only_normalizar_texto,11,0.2936827956989224,45.38660740852356,0.444,0.3074792243767313,0.222,0.5
256,Xavier,none,0.5,16,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords_mas_stemming,11,0.2936761229301191,73.77337646484375,0.444,0.3074792243767313,0.222,0.5
256,Xavier,none,0.5,16,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,11,0.2936761229300474,69.54085898399353,0.444,0.3074792243767313,0.222,0.5
256,Xavier,none,0.5,32,TF-IDF,"(2, 2)",only_normalizar_texto,11,0.2936827956989224,42.398386001586914,0.444,0.3074792243767313,0.222,0.5
