Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Accuracy(macro),F1-score(macro),Presicion(macro),Recall(macro)
1024,Normal,none,0.01,32,TF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.11531299928214307,1486.697194814682,0.646,0.591244786639016,0.6807667316439245,0.6126936288806792
1024,Xavier,none,0.5,32,TF-IDF,"(1, 2)",only_normalizar_texto,14,0.2063458018760009,180.64393544197083,0.556,0.35732647814910024,0.278,0.5
1024,Normal,none,0.1,64,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,18,0.20636385652107503,145.5280258655548,0.556,0.35732647814910024,0.278,0.5
1024,Xavier,none,0.1,64,TF,"(1, 1)",normalizar_txt_sin_StopWords,11,0.20635619271182623,94.28499841690063,0.556,0.35732647814910024,0.278,0.5
1024,Xavier,none,0.5,64,TF-IDF,"(2, 2)",only_normalizar_texto,11,0.20635619271182623,89.27164769172668,0.556,0.35732647814910024,0.278,0.5
1024,Xavier,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,16,0.20634400261576935,130.51447176933289,0.556,0.35732647814910024,0.278,0.5
1024,Xavier,none,0.01,64,TF,"(2, 2)",only_normalizar_texto,16,0.20632641683275027,134.89571619033813,0.556,0.35732647814910024,0.278,0.5
1024,Normal,none,0.1,32,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.03334831764475584,1355.3754477500916,0.74,0.7353894253472505,0.7369627882599581,0.7344286732775942
1024,Xavier,none,0.01,16,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,11,0.14494803616309485,261.68519496917725,0.556,0.35732647814910024,0.278,0.5
1024,Normal,none,0.1,16,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.052443197871797624,2705.6088972091675,0.734,0.7282064486596287,0.731417941298057,0.7267645343184912
1024,Xavier,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,14,0.2063458018760009,223.44231367111206,0.556,0.35732647814910024,0.278,0.5
1024,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.10258474435348951,885.8360810279846,0.672,0.6243976621044725,0.71625,0.640158143755266
1024,Xavier,none,0.1,64,TF,"(2, 2)",only_normalizar_texto,11,0.20635619271182623,101.20702052116394,0.556,0.35732647814910024,0.278,0.5
1024,Normal,none,0.01,32,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.09079228284982352,1618.315834760666,0.672,0.6610169491525424,0.668473813420622,0.6601205522068831
1024,Normal,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.052313582564258984,1621.3084163665771,0.736,0.7318773460732219,0.73268779342723,0.7312852420766089
1024,Normal,none,0.1,64,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.031332383406488404,894.7714142799377,0.678,0.6188284538640378,0.758080674150682,0.6419242983991186
1024,Xavier,none,0.5,64,TF,"(1, 2)",normalizar_txt_sin_StopWords,11,0.20635619271182623,101.5461757183075,0.556,0.35732647814910024,0.278,0.5
1024,Normal,none,0.5,16,TF,"(1, 1)",only_normalizar_texto,23,0.20632387430798857,700.1426873207092,0.556,0.35732647814910024,0.278,0.5
1024,Xavier,none,0.1,16,TF,"(1, 2)",normalizar_txt_sin_StopWords,12,0.20641991725768322,365.9485275745392,0.556,0.35732647814910024,0.278,0.5
1024,Normal,none,0.5,64,TF,"(2, 2)",only_normalizar_texto,14,0.20621121957400007,130.03148889541626,0.556,0.35732647814910024,0.278,0.5
